aX,aY,aZ,gX,gY,gZ
-0.305,0.326,-0.723,15.442,-143.005,-116.455
-0.272,0.215,-0.637,28.381,-132.629,-118.469
-0.321,0.123,-0.544,46.387,-123.962,-119.812
-0.455,0.012,-0.425,68.665,-115.051,-120.422
-0.578,-0.113,-0.297,92.041,-102.356,-125.427
-0.622,-0.274,-0.131,114.929,-85.938,-136.230
-0.550,-0.471,0.150,132.324,-62.256,-148.437
-0.409,-0.715,0.474,139.648,-31.555,-154.297
-0.247,-0.959,0.900,133.240,8.484,-152.466
-0.206,-1.089,1.003,113.281,67.139,-139.832
-0.079,-1.454,1.397,115.112,117.065,-121.765
0.553,-1.650,1.615,110.168,145.447,-104.126
1.055,-1.566,1.506,79.224,189.209,-90.576
1.452,-1.741,1.678,52.490,235.779,-73.608
1.791,-1.487,1.528,39.795,247.620,-74.890
1.484,-1.379,1.256,34.790,221.924,-107.056
1.084,-1.252,1.060,27.649,195.679,-122.192
0.528,-1.100,0.790,17.761,180.542,-139.954
0.415,-0.946,0.779,12.695,181.702,-156.189
0.196,-0.852,0.601,17.639,152.100,-169.189
-0.035,-0.791,0.452,25.024,101.685,-162.842
-0.129,-0.812,0.310,22.217,65.186,-138.794
-0.189,-0.833,0.263,8.484,43.152,-107.605
-0.178,-0.875,0.395,-12.878,23.804,-82.520
-0.138,-0.901,0.511,-26.245,-1.892,-70.740
-0.096,-0.988,0.636,-21.301,-28.259,-67.566
0.007,-1.185,0.769,-4.700,-50.537,-66.406
0.136,-1.465,0.906,17.212,-64.819,-59.631
0.266,-1.732,0.997,44.128,-67.444,-47.546
0.464,-2.004,1.119,67.505,-56.030,-33.081
0.554,-1.944,1.039,80.872,-33.081,-16.541
0.534,-1.963,1.004,86.548,-11.536,-2.808
0.463,-2.016,1.034,85.815,6.165,8.728
0.324,-1.998,0.969,85.693,22.705,18.127
0.275,-1.959,0.972,81.238,36.133,23.132
0.141,-1.920,0.991,74.341,44.983,21.301
0.113,-1.890,1.004,59.875,48.523,14.771
0.347,-1.767,1.087,38.208,39.734,10.925
0.251,-1.757,0.944,19.897,-13.611,8.606
0.184,-1.729,0.928,-3.723,-37.720,5.920
0.181,-1.680,0.860,-29.114,-26.672,15.198
0.177,-1.634,0.744,-52.979,-7.751,19.287
0.108,-1.598,0.634,-64.941,8.911,24.231
0.004,-1.563,0.494,-61.951,18.372,33.142
-0.131,-1.547,0.396,-46.570,20.203,44.128
-0.237,-1.535,0.297,-25.085,15.808,55.481
-0.323,-1.520,0.273,-2.197,10.193,65.552
-0.387,-1.497,0.312,19.470,5.310,76.843
-0.424,-1.494,0.393,36.743,-4.822,86.853
-0.491,-1.434,0.481,45.288,-21.057,89.233
-0.511,-1.429,0.593,49.011,-34.241,88.989
-0.393,-1.449,0.718,46.997,-48.767,86.426
-0.147,-1.482,0.857,38.696,-61.890,86.121
0.003,-1.394,0.958,24.231,-68.298,92.407
0.115,-1.294,1.035,8.606,-70.313,104.126
0.172,-1.181,1.093,-6.592,-61.340,121.704
0.129,-1.109,1.080,-23.010,-40.771,139.282
0.063,-1.137,1.038,-39.856,-17.517,149.597
0.104,-1.211,0.954,-53.955,6.348,153.564
0.153,-1.270,0.873,-64.392,24.353,154.602
0.260,-1.284,0.843,-74.829,34.668,155.823
0.448,-1.254,0.841,-87.708,39.490,159.180
0.581,-1.132,0.849,-100.647,40.283,166.870
0.534,-0.961,0.832,-113.281,39.001,177.795
0.376,-0.787,0.811,-124.390,39.185,185.791
0.240,-0.719,0.749,-128.479,39.246,184.387
0.244,-0.692,0.597,-128.418,44.312,172.363
0.275,-0.744,0.438,-126.160,49.988,154.846
0.354,-0.638,0.346,-127.563,51.636,136.597
0.368,-0.582,0.275,-124.146,45.593,122.192
0.383,-0.327,0.463,-114.380,31.555,114.807
0.423,-0.350,0.393,-83.923,19.165,106.995
0.477,-0.362,0.375,-53.955,3.174,104.553
0.562,-0.313,0.508,-34.485,-8.972,104.370
0.603,-0.282,0.427,-13.000,-15.564,103.455
0.569,-0.259,0.422,6.287,-23.254,101.440
0.569,-0.235,0.374,21.118,-25.085,96.069
0.580,-0.163,0.329,29.358,-20.996,87.219
0.545,-0.060,0.296,34.363,-13.489,75.623
0.496,0.060,0.257,39.246,-7.080,64.087
0.455,0.109,0.196,44.128,-4.700,53.406
0.438,0.173,0.123,44.434,-4.089,45.044
0.409,0.245,0.067,41.016,-3.174,38.696
0.364,0.295,0.021,38.147,-3.479,33.386
0.250,0.331,-0.093,34.973,-6.470,28.442
0.214,0.311,-0.146,31.555,-12.146,27.649
0.159,0.349,-0.268,22.888,-20.691,27.588
0.120,0.343,-0.310,18.677,-33.508,28.503
0.098,0.328,-0.306,16.052,-48.889,29.541
0.095,0.365,-0.389,13.733,-63.782,30.334
0.091,0.378,-0.386,17.029,-72.510,30.823
0.101,0.395,-0.374,21.301,-76.782,28.259
0.118,0.445,-0.371,23.315,-82.703,23.254
0.139,0.503,-0.338,21.973,-90.393,17.334
0.140,0.595,-0.298,19.958,-94.360,10.742
0.157,0.659,-0.251,17.700,-95.032,2.075
0.188,0.686,-0.240,13.489,-93.384,-7.568
0.225,0.680,-0.225,7.080,-89.600,-16.968
