aX,aY,aZ,gX,gY,gZ
0.256,2.508,0.158,-72.510,-83.252,-39.673
0.389,2.431,0.094,-92.041,-85.083,-41.931
0.433,2.315,-0.000,-104.004,-74.646,-39.124
0.532,2.185,-0.095,-105.103,-51.514,-31.006
0.559,2.111,-0.257,-101.135,-27.527,-16.846
0.575,2.071,-0.331,-94.788,-1.587,3.052
0.540,2.062,-0.446,-89.294,17.700,20.203
0.506,2.085,-0.524,-88.379,26.855,32.349
0.493,2.090,-0.580,-96.069,28.381,40.894
0.467,2.072,-0.650,-109.253,27.771,47.607
0.423,2.046,-0.727,-120.972,28.381,52.368
0.382,2.029,-0.823,-127.869,29.297,53.955
0.312,2.025,-0.916,-130.066,31.494,50.354
0.260,1.995,-1.013,-127.380,34.485,40.649
0.246,1.923,-1.103,-120.056,34.668,25.818
0.258,1.822,-1.172,-107.971,28.625,10.010
0.221,1.720,-1.197,-90.027,16.541,-3.479
0.191,1.596,-1.190,-66.895,3.296,-14.893
0.186,1.465,-1.168,-43.640,-9.949,-25.635
0.173,1.373,-1.130,-23.315,-24.109,-34.058
0.166,1.315,-1.076,-6.531,-37.415,-39.185
0.123,1.245,-0.997,8.301,-47.852,-44.556
0.048,1.171,-0.941,21.790,-55.603,-49.438
-0.010,1.122,-0.876,33.203,-60.547,-51.086
-0.032,1.091,-0.817,40.955,-68.665,-54.016
-0.089,1.018,-0.755,46.936,-79.285,-60.913
-0.128,0.889,-0.648,52.002,-89.539,-70.068
-0.151,0.684,-0.554,57.251,-99.182,-78.430
-0.164,0.470,-0.426,62.744,-106.445,-85.815
-0.209,0.251,-0.282,69.031,-111.938,-89.844
-0.300,0.052,-0.138,76.355,-114.441,-88.196
-0.313,-0.251,-0.044,80.383,-116.760,-74.890
-0.284,-0.507,0.089,71.228,-119.934,-56.885
-0.301,-0.672,0.186,51.636,-124.512,-40.771
-0.358,-0.766,0.278,30.762,-133.057,-20.996
-0.434,-0.810,0.378,15.869,-146.912,-0.244
-0.478,-0.830,0.479,13.062,-163.391,15.686
-0.467,-0.848,0.643,22.156,-178.772,21.057
-0.360,-0.918,0.901,39.612,-190.491,11.963
-0.120,-0.971,1.187,61.646,-191.284,-6.348
0.118,-0.926,1.429,84.656,-177.368,-29.541
0.366,-0.847,1.532,105.652,-144.287,-48.828
0.538,-0.761,1.567,118.591,-94.727,-57.068
0.664,-0.624,1.477,114.746,-36.987,-55.786
0.750,-0.529,1.343,95.764,15.259,-48.523
0.731,-0.500,1.227,69.580,59.998,-34.302
0.656,-0.476,1.056,42.542,97.900,-13.123
0.519,-0.460,0.899,17.761,124.451,13.123
0.367,-0.445,0.725,-4.089,141.541,39.856
0.230,-0.455,0.596,-20.020,149.597,60.852
0.096,-0.441,0.493,-29.785,149.048,77.332
0.001,-0.403,0.400,-34.424,140.442,92.468
-0.077,-0.357,0.329,-36.377,122.192,105.347
-0.216,-0.332,0.285,-35.950,95.581,114.380
-0.307,-0.299,0.233,-34.668,72.510,120.056
-0.352,-0.271,0.190,-34.363,56.946,123.657
-0.366,-0.244,0.150,-34.241,46.570,126.343
-0.359,-0.143,0.126,-33.569,39.795,129.639
-0.344,0.016,0.106,-30.701,35.950,132.874
-0.308,0.198,0.045,-26.733,36.011,133.850
-0.267,0.364,-0.018,-24.841,42.053,131.104
-0.240,0.494,-0.077,-26.672,51.025,125.671
-0.259,0.560,-0.147,-31.860,58.960,120.911
-0.333,0.552,-0.224,-40.588,67.749,119.995
-0.424,0.549,-0.306,-52.185,75.867,123.596
-0.475,0.613,-0.374,-63.110,79.956,127.563
-0.462,0.779,-0.428,-68.420,77.515,125.793
-0.406,1.033,-0.500,-67.139,68.176,114.258
-0.351,1.240,-0.568,-60.364,52.429,93.689
-0.323,1.362,-0.624,-54.321,35.706,67.383
-0.270,1.414,-0.676,-52.490,22.583,38.452
-0.249,1.401,-0.726,-52.124,15.991,9.766
-0.230,1.352,-0.794,-49.133,16.968,-15.137
0.345,1.564,-1.028,8.057,15.747,-79.468
0.504,1.674,-1.039,21.484,4.578,-82.275
0.586,1.774,-1.014,34.485,-3.662,-78.491
0.586,1.865,-0.943,49.500,-7.568,-69.275
0.551,1.904,-0.790,65.125,-10.071,-59.265
0.508,2.054,-0.689,76.660,-12.573,-52.673
0.462,2.348,-0.608,84.167,-15.076,-49.438
0.444,2.680,-0.516,91.248,-19.287,-41.931
0.316,2.954,-0.392,94.849,-23.071,-29.663
0.129,3.119,-0.252,87.280,-24.536,-18.982
-0.039,3.213,-0.146,65.063,-22.278,-13.916
-0.167,3.252,-0.117,32.593,-16.296,-10.681
-0.202,3.247,-0.163,-3.662,-10.254,-8.179
-0.156,3.197,-0.274,-38.086,-6.714,-8.911
-0.034,3.066,-0.400,-63.843,-6.714,-15.320
0.164,2.835,-0.455,-80.261,-11.292,-29.602
0.293,2.534,-0.523,-91.797,-20.508,-42.969
0.464,2.217,-0.587,-98.999,-23.743,-42.969
0.562,1.947,-0.644,-104.980,-24.292,-40.344
0.658,1.760,-0.704,-108.826,-20.996,-33.752
0.719,1.651,-0.776,-107.117,-14.587,-18.616
0.726,1.595,-0.838,-100.525,-6.775,0.977
0.704,1.571,-0.903,-93.994,-0.610,22.644
0.668,1.594,-0.972,-91.003,3.418,42.480
0.618,1.635,-1.016,-89.172,5.249,55.969
0.569,1.655,-1.042,-84.595,4.211,61.584
0.499,1.654,-1.044,-74.829,0.732,60.059
0.419,1.642,-1.039,-60.120,-3.540,56.274
0.314,1.640,-1.022,-44.434,-6.226,51.086
0.215,1.629,-1.005,-29.419,-4.822,41.748
0.152,1.609,-1.013,-16.113,-0.183,26.123
0.073,1.563,-1.023,-4.089,6.042,5.005
0.012,1.483,-1.036,8.118,12.390,-17.029
-0.046,1.384,-1.035,20.203,15.564,-37.170
-0.147,1.280,-1.025,31.433,13.184,-52.551
-0.215,1.162,-1.030,40.894,5.493,-63.721
-0.258,1.057,-1.021,46.814,-7.568,-73.730
-0.308,0.952,-0.996,51.819,-25.269,-84.167
-0.328,0.846,-0.961,57.373,-45.898,-94.849
-0.328,0.681,-0.909,62.073,-66.772,-104.004
-0.358,0.410,-0.840,63.904,-85.510,-110.291
-0.290,0.279,-0.699,62.134,-107.788,-116.516
-0.311,0.032,-0.575,65.552,-129.761,-111.267
-0.300,-0.158,-0.360,74.219,-134.644,-102.234
-0.317,-0.313,-0.165,85.571,-134.766,-87.341
-0.292,-0.547,-0.053,97.290,-135.559,-58.411
-0.283,-0.701,0.100,106.079,-130.920,-24.536
-0.237,-0.763,0.218,111.206,-115.540,0.549
-0.249,-0.847,0.305,112.488,-101.257,20.813
-0.317,-0.867,0.356,106.812,-94.299,34.058
-0.407,-0.839,0.429,95.215,-96.741,35.522
-0.397,-0.841,0.564,80.750,-106.750,26.001
-0.281,-0.802,0.735,67.078,-117.004,7.874
-0.117,-0.781,0.985,58.655,-121.765,-10.498
0.105,-0.767,1.249,58.472,-122.437,-22.522
0.325,-0.686,1.454,66.345,-112.671,-24.658
0.486,-0.591,1.546,76.721,-82.764,-23.804
0.649,-0.578,1.600,76.904,-38.147,-26.489
0.738,-0.576,1.524,64.636,6.042,-26.611
0.742,-0.646,1.450,48.096,43.945,-20.508
0.742,-0.707,1.289,29.541,77.393,-9.705
0.639,-0.744,1.106,10.803,107.605,2.747
0.448,-0.773,0.880,-1.831,133.057,15.991
0.313,-0.805,0.663,-8.362,152.344,37.170
0.166,-0.790,0.505,-12.817,157.349,64.209
0.007,-0.747,0.361,-15.137,145.447,88.745
-0.120,-0.707,0.257,-16.541,122.375,110.413
-0.203,-0.643,0.173,-18.188,93.323,130.981
-0.258,-0.484,0.112,-20.630,62.561,150.574
-0.343,-0.266,0.076,-24.597,32.898,164.429
-0.431,-0.020,0.062,-29.602,7.690,167.175
-0.457,0.254,0.021,-34.546,-11.353,157.349
-0.437,0.509,-0.012,-38.330,-24.780,138.123
-0.437,0.714,-0.042,-39.734,-33.630,117.493
-0.451,0.854,-0.062,-38.208,-35.217,102.661
-0.503,0.952,-0.068,-34.363,-29.114,95.581
-0.543,1.001,-0.055,-31.372,-19.409,92.834
-0.554,1.055,-0.006,-31.555,-10.071,88.928
-0.466,1.155,-0.021,-35.706,-4.944,79.895
-0.312,1.337,-0.087,-42.480,-6.287,60.791
-0.125,1.473,-0.156,-47.119,-9.033,33.081
0.103,1.505,-0.286,-51.636,-7.874,3.235
0.287,1.429,-0.458,-59.937,2.258,-21.484
0.378,1.300,-0.652,-70.923,21.790,-34.302
0.394,1.198,-0.833,-77.698,45.593,-30.640
0.339,1.174,-0.975,-73.608,70.984,-14.771
0.263,1.234,-1.037,-56.824,90.454,1.465
0.260,1.370,-1.077,-33.325,96.558,11.963
0.311,1.602,-1.084,-11.414,82.825,12.451
0.336,1.816,-1.045,8.728,50.476,10.986
0.343,1.945,-0.920,27.405,12.817,8.972
0.318,2.056,-0.766,39.124,-20.935,7.812
0.227,2.111,-0.604,44.067,-44.434,9.888
0.055,2.112,-0.443,43.518,-48.157,13.855
-0.144,2.061,-0.323,40.100,-29.663,15.991
-0.324,2.036,-0.249,38.574,1.770,19.104
-0.466,2.116,-0.246,41.077,31.311,27.954
-0.552,2.245,-0.305,38.757,47.302,39.795
-0.453,2.408,-0.434,21.667,41.687,45.105
-0.419,2.612,-0.476,-9.155,8.118,38.025
-0.239,2.801,-0.516,-45.532,-45.471,16.052
-0.034,2.904,-0.538,-76.660,-100.342,-20.142
