aX,aY,aZ,gX,gY,gZ
-0.741,-0.708,-1.278,-49.500,140.381,-75.623
-0.243,-0.982,-2.541,-96.375,132.996,-104.919
0.482,-1.167,-3.884,-139.404,114.441,-136.963
1.503,-1.435,-4.000,-151.794,102.356,-177.368
2.583,-1.800,-4.000,-121.887,78.552,-209.839
3.008,-2.283,-4.000,-59.998,42.969,-205.811
2.549,-2.499,-4.000,-3.113,-5.676,-147.522
1.682,-2.385,-3.574,39.795,-67.627,-55.115
0.699,-2.179,-2.412,77.942,-116.516,39.001
-0.545,-0.650,0.194,51.819,-42.297,112.061
-0.411,-0.580,0.450,16.907,-37.292,46.387
-0.323,-0.574,0.713,-18.860,-40.833,-23.376
-0.188,-0.592,0.995,-55.969,-43.945,-96.558
0.001,-0.714,1.187,-81.543,-40.649,-151.672
0.238,-0.859,1.313,-90.271,-27.161,-178.223
0.495,-0.990,1.425,-82.214,-5.798,-180.481
0.750,-1.079,1.559,-61.401,17.334,-162.170
1.001,-1.128,1.650,-33.264,40.405,-126.648
1.196,-1.149,1.679,-2.502,60.120,-79.773
1.376,-1.097,1.687,24.902,68.848,-29.114
1.508,-1.026,1.650,46.692,64.209,13.855
1.566,-0.981,1.638,63.293,46.387,47.668
1.515,-0.865,1.687,72.327,18.066,75.623
1.356,-0.724,1.794,69.824,-18.066,93.445
1.176,-0.617,1.937,54.871,-56.213,96.375
0.904,-0.524,2.017,34.668,-90.332,93.567
0.568,-0.398,2.054,15.015,-105.530,84.167
0.394,-0.307,2.041,-2.319,-113.281,55.115
0.155,-0.277,2.076,-12.451,-134.766,36.438
-0.083,-0.280,2.100,-16.418,-145.996,29.236
-0.275,-0.294,2.168,-8.667,-140.991,25.757
-0.459,-0.318,2.257,10.620,-122.620,30.273
-0.619,-0.343,2.300,33.325,-87.341,39.124
-0.735,-0.379,2.263,53.589,-41.687,46.997
-0.807,-0.413,2.088,64.392,7.812,49.805
-0.854,-0.463,1.764,60.608,53.284,45.837
-0.888,-0.543,1.309,39.856,89.050,34.058
-0.945,-0.640,0.793,3.357,111.145,16.296
-1.003,-0.775,0.156,-41.199,121.643,-3.601
-1.066,-0.940,-0.744,-83.923,127.136,-20.996
-0.815,-1.034,-1.960,-123.047,132.080,-41.870
-0.291,-1.054,-3.251,-155.396,145.630,-77.820
0.743,-1.108,-4.000,-163.025,154.419,-125.000
1.778,-1.487,-4.000,-127.869,136.597,-168.579
2.403,-1.973,-4.000,-58.655,85.266,-177.551
2.275,-2.358,-4.000,10.132,26.367,-135.986
1.805,-2.463,-3.869,56.580,-20.081,-67.078
1.206,-2.323,-2.931,79.895,-49.744,5.737
0.587,-2.089,-2.033,88.074,-67.749,72.937
0.085,-1.698,-1.201,84.534,-68.298,124.084
-0.225,-1.399,-0.769,75.317,-57.617,150.391
-0.397,-0.979,-0.399,58.228,-43.457,139.038
-0.449,-0.737,-0.214,35.522,-50.476,103.027
-0.387,-0.567,0.068,13.245,-32.166,56.641
-0.176,-0.568,0.232,-4.028,-12.146,12.878
0.052,-0.658,0.414,-22.217,-6.836,-31.616
0.244,-0.770,0.630,-39.063,-9.949,-74.219
0.384,-0.873,0.877,-50.781,-10.925,-103.027
0.504,-0.972,1.097,-51.208,-8.606,-110.474
0.631,-1.068,1.298,-40.039,-3.540,-98.572
0.748,-1.132,1.465,-23.193,8.972,-75.623
0.885,-1.188,1.570,-3.784,27.893,-49.500
1.030,-1.212,1.669,14.099,43.823,-23.315
1.164,-1.190,1.798,24.353,56.152,2.258
1.270,-1.162,1.880,24.902,62.195,20.752
1.333,-1.104,1.943,14.771,57.495,31.250
1.285,-0.926,1.978,-4.944,42.175,36.316
1.233,-0.748,2.001,-28.992,17.639,33.203
1.148,-0.621,2.012,-52.490,-8.606,24.719
0.980,-0.446,1.980,-70.862,-30.273,18.372
0.794,-0.372,1.858,-78.735,-46.570,23.743
0.684,-0.245,1.854,-76.477,-50.842,19.470
0.539,-0.205,1.858,-62.744,-72.876,30.396
0.359,-0.153,1.938,-44.250,-92.590,50.659
0.116,-0.100,2.019,-22.583,-96.130,72.205
-0.059,-0.044,2.067,-1.282,-80.811,90.088
-0.229,0.027,2.122,19.653,-55.054,103.394
-0.399,0.108,2.103,33.936,-22.888,105.469
-0.527,0.151,1.970,38.330,9.399,93.872
-0.646,0.143,1.689,32.593,39.185,69.702
-0.743,0.044,1.284,17.944,62.195,33.203
-0.813,-0.150,0.747,-3.601,80.200,-7.507
-0.841,-0.396,0.166,-31.006,95.093,-49.011
-0.828,-0.749,-0.625,-60.425,106.750,-91.003
-0.632,-1.091,-1.537,-89.905,114.380,-126.404
-0.183,-1.387,-2.613,-117.798,120.605,-178.345
1.268,-1.919,-4.000,-96.558,117.676,-186.340
1.732,-2.225,-4.000,-37.231,82.153,-171.082
1.834,-2.557,-4.000,20.447,25.818,-139.648
